soil,temperature,rainfall,ph,nitrogen,phosphorus,potassium,humidity,crop
sandy,30,200,6.5,90,40,40,80,Groundnut
sandy,32,150,6.8,85,35,45,75,Groundnut
sandy,35,100,7.0,80,30,50,70,Millet
sandy,33,120,6.9,70,25,40,72,Millet
sandy,29,180,6.4,95,45,42,78,Watermelon
clay,25,300,6.2,120,50,85,Rice
clay,27,280,6.0,115,55,45,88,Rice
clay,28,250,6.5,110,60,50,82,Sugarcane
clay,26,320,6.1,125,58,52,90,Rice
clay,29,240,6.8,105,50,48,84,Jute
loamy,20,150,7.2,80,40,40,65,Wheat
loamy,22,180,7.0,85,42,45,68,Maize
loamy,21,160,7.1,78,38,42,66,Wheat
loamy,24,200,6.9,90,45,50,70,Maize
loamy,18,140,7.3,75,35,40,62,Barley
sandy,34,90,7.2,60,20,35,65,Millet
clay,30,350,6.3,130,65,55,92,Rice
loamy,25,220,6.8,95,50,55,75,Cotton
loamy,27,230,7.0,100,55,60,78,Cotton
clay,29,260,6.6,108,52,48,86,Sugarcane
sandy,31,170,6.7,88,38,42,77,Groundnut
loamy,23,190,7.0,82,44,46,72,Soybean
loamy,26,210,6.9,92,48,52,74,Soybean
clay,24,290,6.2,118,58,50,89,Rice
sandy,36,80,7.1,55,18,30,60,Millet
loamy,24,200,6.5,90,45,50,70,Tomato
loamy,22,180,6.8,85,40,48,68,Tomato
loamy,20,160,6.7,80,38,45,65,Potato
loamy,18,150,6.9,75,35,42,63,Potato
sandy,29,120,6.3,70,30,40,66,Onion
sandy,31,110,6.5,72,32,42,68,Onion
loamy,25,210,6.8,95,50,55,74,Chickpea
loamy,23,190,7.0,88,45,50,72,Chickpea
clay,28,270,6.4,110,55,50,86,PigeonPea
clay,30,260,6.6,108,52,48,84,PigeonPea
sandy,32,140,6.6,82,36,44,73,Groundnut
sandy,34,100,7.0,68,28,38,67,Millet
clay,27,290,6.2,118,60,52,89,Rice
clay,29,250,6.5,112,55,50,85,Sugarcane
loamy,21,170,7.1,84,42,46,69,Wheat
loamy,23,200,6.9,90,45,50,71,Maize
loamy,26,220,6.8,96,48,54,75,Cotton
loamy,24,210,7.0,92,46,52,73,Soybean
sandy,30,150,6.5,85,40,42,75,Watermelon
clay,31,330,6.3,128,62,54,93,Rice
sandy,31,155,6.6,87,39,43,76,Groundnut
sandy,33,105,7.0,72,27,37,69,Millet
sandy,28,175,6.5,94,44,45,78,Watermelon
clay,26,305,6.2,121,59,51,90,Rice
clay,29,255,6.5,113,54,49,86,Sugarcane
clay,27,245,6.4,109,52,47,84,Jute
loamy,21,165,7.1,83,41,45,68,Wheat
loamy,23,195,7.0,89,44,49,71,Maize
loamy,25,225,6.9,96,49,55,75,Cotton
loamy,24,205,6.9,91,46,52,73,Soybean
loamy,22,175,6.8,86,43,47,70,Tomato
loamy,20,155,6.7,79,39,44,66,Potato
sandy,30,125,6.4,73,31,41,67,Onion
loamy,26,215,6.8,97,51,56,76,Chickpea
clay,28,265,6.5,111,53,49,85,PigeonPea
clay,30,335,6.3,129,63,55,92,Rice
sandy,35,95,7.1,66,24,35,68,Millet
loamy,19,145,7.3,74,36,41,62,Barley
loamy,23,185,7.0,87,44,48,71,Maize
clay,27,295,6.2,119,58,52,89,Rice
sandy,37,70,7.3,50,15,28,58,Millet
sandy,28,160,6.6,92,42,44,76,Groundnut
sandy,30,130,6.4,75,33,40,69,Onion
sandy,26,190,6.2,98,46,45,79,Watermelon
sandy,33,115,6.9,68,26,36,71,Millet
sandy,29,165,6.5,90,41,43,77,Groundnut
clay,23,340,6.0,122,60,53,91,Rice
clay,28,275,6.3,116,57,51,87,Rice
clay,30,245,6.7,107,51,47,83,Sugarcane
clay,25,315,6.1,124,61,54,92,Rice
clay,27,285,6.4,114,56,50,88,Jute
clay,31,325,6.5,127,64,56,94,Rice
loamy,17,135,7.4,70,34,39,60,Barley
loamy,19,155,7.2,77,37,43,64,Potato
loamy,22,185,6.9,88,43,47,69,Wheat
loamy,24,205,6.8,93,47,53,72,Maize
loamy,26,235,6.7,99,52,57,77,Cotton
loamy,23,175,7.0,86,41,46,68,Tomato
loamy,25,215,6.8,94,49,54,74,Soybean
loamy,27,225,6.9,98,50,56,76,Chickpea
loamy,21,165,7.1,82,40,44,67,Potato
clay,29,255,6.6,109,53,48,85,PigeonPea
sandy,34,85,7.2,58,22,33,63,Millet
loamy,20,145,7.0,76,36,41,63,Barley
